name,nation,team,position,Cluster
Tommy Doyle,ENG,Wolves,MF,0
Radu Drăgușin,ROU,Tottenham,DF,0
Lewis Dunk,ENG,Brighton,DF,3
Jáder Durán,COL,Aston Villa,FW,0
Luis Díaz,COL,Liverpool,FW,1
Martin Dúbravka,SVK,Newcastle Utd,GK,2
Ederson,BRA,Manchester City,GK,2
Anthony Elanga,SWE,Nott'ham Forest,"FW,MF",1
Harvey Elliott,ENG,Liverpool,"MF,FW",0
Julio Enciso,PAR,Ipswich Town,"FW,MF",0
Julio Enciso,PAR,Brighton,"MF,FW",0
Wataru Endo,JPN,Liverpool,MF,0
Christian Eriksen,DEN,Manchester Utd,MF,0
Pervis Estupiñán,ECU,Brighton,DF,3
Evanilson,BRA,Bournemouth,FW,1
Jonny Evans,NIR,Manchester Utd,DF,0
Eberechi Eze,ENG,Crystal Palace,"MF,FW",1
Łukasz Fabiański,POL,West Ham,GK,2
Wout Faes,BEL,Leicester City,DF,3
Evan Ferguson,IRL,West Ham,FW,0
Evan Ferguson,IRL,Brighton,FW,0
Bruno Fernandes,POR,Manchester Utd,MF,3
Mateus Fernandes,POR,Southampton,MF,3
Enzo Fernández,ARG,Chelsea,MF,1
Mark Flekken,NED,Brentford,GK,2
Phil Foden,ENG,Manchester City,"MF,FW",1
Wesley Fofana,FRA,Chelsea,DF,0
Carlos Forbs,POR,Wolves,"MF,FW",0
Fraser Forster,ENG,Tottenham,GK,0
Ryan Fraser,SCO,Southampton,"FW,DF",0
Tyler Fredricson,ENG,Manchester Utd,DF,0
João Félix,POR,Chelsea,"FW,MF",0
Niclas Füllkrug,GER,West Ham,FW,0
Cody Gakpo,NED,Liverpool,FW,1
Andrés García,ESP,Aston Villa,"DF,MF",0
Alejandro Garnacho,ARG,Manchester Utd,"MF,FW",1
James Garner,ENG,Everton,"MF,DF",0
Tyrique George,ENG,Chelsea,FW,0
Morgan Gibbs-White,ENG,Nott'ham Forest,MF,1
Billy Gilmour,SCO,Brighton,MF,0
Ben Godfrey,ENG,Ipswich Town,DF,0
Toti Gomes,POR,Wolves,DF,3
João Gomes,BRA,Wolves,MF,3
Rodrigo Gomes,POR,Wolves,"DF,FW",0
Joe Gomez,ENG,Liverpool,DF,0
Nicolás González,ESP,Manchester City,MF,0
Anthony Gordon,ENG,Newcastle Utd,FW,1
Ryan Gravenberch,NED,Liverpool,MF,3
Archie Gray,ENG,Tottenham,"DF,MF",0
Jack Grealish,ENG,Manchester City,"FW,MF",0
Jacob Greaves,ENG,Ipswich Town,DF,3
Brajan Gruda,GER,Brighton,"FW,MF",0
Albert Grønbaek,DEN,Southampton,"FW,MF",0
Gonçalo Guedes,POR,Wolves,"MF,FW",0
Idrissa Gana Gueye,SEN,Everton,MF,3
Luis Guilherme,BRA,West Ham,"MF,FW",0
Bruno Guimarães,BRA,Newcastle Utd,MF,3
Malo Gusto,FRA,Chelsea,DF,3
Marc Guéhi,ENG,Crystal Palace,DF,3
Joško Gvardiol,CRO,Manchester City,DF,3
Diego Gómez,PAR,Brighton,MF,0
İlkay Gündoğan,GER,Manchester City,MF,3
Erling Haaland,NOR,Manchester City,FW,1
Lewis Hall,ENG,Newcastle Utd,DF,3
Ali Al Hamadi,IRQ,Ipswich Town,FW,0
Jack Harrison,ENG,Everton,FW,1
Taylor Harwood-Bellis,ENG,Southampton,DF,3
Kai Havertz,GER,Arsenal,"FW,MF",1
Ayden Heaven,ENG,Manchester Utd,DF,0
Jan Paul van Hecke,NED,Brighton,DF,3
