name,nation,team,position,age,matches_played,starts,minutes,goals,assists,yellow_cards,red_cards,xG,xAG,GA90,Save%,CS%,PK_Save%,PrgC,PrgP,PrgR,per90_Gls,per90_Ast,per90_xG,per90_xAG,SoT%,SoT/90,G/Sh,Dist,Pass_Cmp,Pass_Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,Long_Cmp%,KP,1/3,PPA,CrsPA,PrgP,SCA,SCA90,GCA,GCA90,Tkl,TklW,Challenges_Att,Challenges_Lost,Blocks,Blocks_SH,Blocks_Pass,Blocks_Int,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Take_Att,Take_Succ%,Take_Tkld%,Carries,Carries_ProDist,Carries_ProgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,REC,REC_PrgR,Fls,Fld,Off,Crs,OG,Recov,Aerial_Won,Aerial_Lost,Aerial_Won%
Trent Alexander-Arnold,ENG,Liverpool,DF,26.0,31.0,28.0,2296.0,3.0,6.0,5.0,0.0,1.8,6.7,N/a,N/a,N/a,N/a,50.0,221.0,90.0,0.12,0.24,0.07,0.26,18.6,0.31,0.07,23.3,1397.0,73.6,26692.0,89.9,76.2,48.6,50.0,198.0,63.0,20.0,221.0,94.0,3.68,10.0,0.39,70.0,49.0,103.0,55.0,26.0,9.0,17.0,30.0,2173.0,86.0,578.0,976.0,633.0,44.0,35.0,45.7,48.6,1139.0,2780.0,50.0,35.0,9.0,19.0,15.0,1384.0,90.0,11.0,8.0,1.0,145.0,0.0,129.0,3.0,13.0,18.8
Alisson,BRA,Liverpool,GK,32.0,25.0,25.0,2238.0,0.0,0.0,0.0,0.0,0.0,0.6,0.92,71.4,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,N/a,0.0,N/a,N/a,681.0,83.6,14999.0,99.0,98.6,48.1,1.0,11.0,0.0,0.0,0.0,6.0,0.24,1.0,0.04,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,860.0,622.0,844.0,16.0,0.0,0.0,1.0,100.0,0.0,550.0,1284.0,0.0,0.0,0.0,1.0,0.0,525.0,0.0,0.0,2.0,0.0,0.0,0.0,42.0,6.0,0.0,100.0
Alexis Mac Allister,ARG,Liverpool,MF,26.0,34.0,30.0,2575.0,5.0,5.0,6.0,0.0,2.8,4.6,N/a,N/a,N/a,N/a,34.0,174.0,79.0,0.17,0.17,0.1,0.16,34.2,0.45,0.13,18.1,1260.0,83.5,20147.0,90.2,88.4,55.7,44.0,121.0,34.0,2.0,174.0,119.0,4.16,15.0,0.52,95.0,58.0,104.0,49.0,61.0,6.0,55.0,22.0,1845.0,55.0,280.0,956.0,630.0,60.0,42.0,38.1,50.0,906.0,1961.0,34.0,42.0,5.0,31.0,22.0,1217.0,79.0,61.0,40.0,2.0,85.0,0.0,146.0,19.0,34.0,35.8
Miguel Almirón,PAR,Newcastle Utd,FW,31.0,9.0,1.0,157.0,0.0,0.0,0.0,0.0,0.5,0.3,N/a,N/a,N/a,N/a,3.0,6.0,18.0,0.0,0.0,0.3,0.15,33.3,1.15,0.0,14.2,54.0,81.8,707.0,92.9,81.3,33.3,3.0,3.0,1.0,0.0,6.0,8.0,4.59,0.0,0.0,3.0,2.0,3.0,1.0,2.0,0.0,2.0,0.0,81.0,1.0,10.0,35.0,36.0,9.0,2.0,50.0,50.0,54.0,93.0,3.0,3.0,2.0,0.0,2.0,59.0,18.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0
Harry Amass,ENG,Manchester Utd,DF,18.0,4.0,3.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,9.0,5.0,17.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,20.9,121.0,82.9,1430.0,93.3,76.9,25.0,1.0,4.0,0.0,0.0,5.0,6.0,2.11,0.0,0.0,6.0,2.0,6.0,4.0,6.0,1.0,5.0,2.0,197.0,12.0,69.0,67.0,65.0,4.0,7.0,42.9,42.9,102.0,342.0,9.0,6.0,2.0,12.0,5.0,101.0,17.0,2.0,4.0,1.0,6.0,0.0,17.0,5.0,5.0,50.0
Joachim Andersen,DEN,Fulham,DF,28.0,26.0,26.0,2313.0,0.0,0.0,5.0,1.0,1.0,0.3,N/a,N/a,N/a,N/a,13.0,105.0,2.0,0.0,0.0,0.04,0.01,23.5,0.16,0.0,15.2,1485.0,82.8,32857.0,91.2,93.6,55.1,3.0,176.0,6.0,3.0,105.0,30.0,1.17,2.0,0.08,25.0,17.0,20.0,7.0,33.0,26.0,7.0,30.0,2089.0,293.0,1085.0,923.0,93.0,20.0,6.0,66.7,0.0,1211.0,2996.0,13.0,14.0,1.0,6.0,3.0,1446.0,2.0,15.0,17.0,0.0,10.0,1.0,107.0,63.0,36.0,63.6
Elliot Anderson,ENG,Nott'ham Forest,MF,22.0,34.0,30.0,2467.0,2.0,6.0,7.0,0.0,1.9,3.1,N/a,N/a,N/a,N/a,46.0,128.0,87.0,0.07,0.22,0.07,0.11,18.9,0.26,0.05,19.4,949.0,77.6,15198.0,89.1,80.3,45.7,34.0,105.0,19.0,2.0,128.0,78.0,2.85,10.0,0.36,84.0,52.0,100.0,57.0,44.0,9.0,35.0,30.0,1630.0,95.0,388.0,775.0,496.0,62.0,73.0,49.3,39.7,820.0,2094.0,46.0,31.0,19.0,56.0,41.0,956.0,87.0,43.0,55.0,4.0,78.0,0.0,197.0,47.0,23.0,67.1
André,BRA,Wolves,MF,23.0,30.0,28.0,2249.0,0.0,0.0,7.0,0.0,0.4,0.7,N/a,N/a,N/a,N/a,8.0,95.0,11.0,0.0,0.0,0.02,0.03,11.1,0.04,0.0,25.3,1111.0,92.8,17503.0,95.3,95.4,80.0,15.0,101.0,4.0,0.0,95.0,45.0,1.8,3.0,0.12,80.0,48.0,57.0,25.0,41.0,8.0,33.0,32.0,1451.0,83.0,395.0,939.0,132.0,3.0,27.0,48.1,37.0,795.0,1440.0,8.0,14.0,0.0,27.0,17.0,973.0,11.0,34.0,32.0,0.0,0.0,0.0,176.0,2.0,6.0,25.0
Michail Antonio,JAM,West Ham,FW,35.0,14.0,11.0,836.0,1.0,1.0,1.0,0.0,2.2,1.6,N/a,N/a,N/a,N/a,29.0,18.0,59.0,0.11,0.11,0.24,0.17,21.1,0.43,0.05,12.6,114.0,60.6,2183.0,72.2,59.7,71.0,9.0,11.0,6.0,2.0,18.0,22.0,2.37,4.0,0.43,2.0,2.0,3.0,1.0,6.0,0.0,6.0,0.0,296.0,3.0,26.0,124.0,151.0,36.0,27.0,33.3,48.1,173.0,695.0,29.0,13.0,9.0,35.0,19.0,221.0,59.0,12.0,7.0,4.0,25.0,0.0,22.0,17.0,22.0,43.6
Antony,BRA,Manchester Utd,"DF,MF",25.0,8.0,0.0,141.0,0.0,0.0,0.0,0.0,1.0,0.1,N/a,N/a,N/a,N/a,5.0,6.0,7.0,0.0,0.0,0.65,0.08,50.0,1.91,0.0,15.8,56.0,81.2,688.0,88.2,64.3,100.0,3.0,1.0,5.0,2.0,6.0,8.0,5.11,0.0,0.0,6.0,3.0,5.0,3.0,2.0,0.0,2.0,2.0,101.0,2.0,22.0,26.0,54.0,8.0,11.0,36.4,54.5,60.0,182.0,5.0,6.0,1.0,5.0,1.0,69.0,7.0,2.0,5.0,0.0,5.0,0.0,11.0,0.0,1.0,0.0
