name,nation,team,position,age,matches_played,starts,minutes,goals,assists,yellow_cards,red_cards,xG,xAG,GA90,Save%,CS%,PK_Save%,PrgC,PrgP,PrgR,per90_Gls,per90_Ast,per90_xG,per90_xAG,SoT%,SoT/90,G/Sh,Dist,Pass_Cmp,Pass_Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,Long_Cmp%,KP,1/3,PPA,CrsPA,PrgP,SCA,SCA90,GCA,GCA90,Tkl,TklW,Challenges_Att,Challenges_Lost,Blocks,Blocks_SH,Blocks_Pass,Blocks_Int,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Take_Att,Take_Succ%,Take_Tkld%,Carries,Carries_ProDist,Carries_ProgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,REC,REC_PrgR,Fls,Fld,Off,Crs,OG,Recov,Aerial_Won,Aerial_Lost,Aerial_Won%
Tommy Doyle,ENG,Wolves,MF,23.0,24.0,3.0,488.0,0.0,1.0,1.0,0.0,0.6,0.5,N/a,N/a,N/a,N/a,6.0,40.0,4.0,0.0,0.18,0.1,0.09,22.2,0.37,0.0,24.5,321.0,81.9,6591.0,94.1,89.0,65.6,7.0,44.0,3.0,0.0,40.0,17.0,3.13,3.0,0.55,11.0,6.0,15.0,9.0,11.0,5.0,6.0,5.0,463.0,22.0,128.0,258.0,80.0,4.0,9.0,55.6,11.1,260.0,578.0,6.0,3.0,0.0,9.0,4.0,303.0,4.0,5.0,5.0,0.0,15.0,0.0,43.0,1.0,6.0,14.3
Radu Drăgușin,ROU,Tottenham,DF,23.0,16.0,14.0,1252.0,0.0,0.0,1.0,0.0,0.1,0.4,N/a,N/a,N/a,N/a,7.0,37.0,2.0,0.0,0.0,0.01,0.03,20.0,0.07,0.0,12.7,716.0,85.2,13638.0,91.0,93.0,43.9,4.0,52.0,2.0,1.0,37.0,8.0,0.58,1.0,0.07,10.0,6.0,12.0,6.0,22.0,16.0,6.0,15.0,961.0,148.0,510.0,430.0,30.0,12.0,2.0,0.0,0.0,623.0,1666.0,7.0,3.0,0.0,8.0,2.0,669.0,2.0,6.0,10.0,0.0,1.0,0.0,48.0,33.0,22.0,60.0
Lewis Dunk,ENG,Brighton,DF,33.0,25.0,23.0,2083.0,0.0,0.0,5.0,0.0,0.8,0.5,N/a,N/a,N/a,N/a,20.0,142.0,3.0,0.0,0.0,0.03,0.02,25.0,0.13,0.0,12.1,1778.0,91.0,32940.0,96.4,95.2,62.7,6.0,157.0,6.0,0.0,142.0,19.0,0.82,3.0,0.13,17.0,10.0,19.0,8.0,28.0,18.0,10.0,13.0,2127.0,258.0,993.0,1031.0,113.0,21.0,1.0,0.0,100.0,1341.0,3345.0,20.0,19.0,0.0,9.0,3.0,1556.0,3.0,7.0,11.0,2.0,5.0,1.0,104.0,51.0,31.0,62.2
Jáder Durán,COL,Aston Villa,FW,21.0,20.0,4.0,638.0,7.0,0.0,3.0,1.0,4.9,0.2,N/a,N/a,N/a,N/a,7.0,13.0,44.0,0.99,0.0,0.69,0.03,48.4,2.12,0.23,15.6,115.0,70.6,1558.0,81.0,68.0,45.5,4.0,10.0,1.0,0.0,13.0,18.0,2.54,1.0,0.14,8.0,7.0,4.0,3.0,5.0,0.0,5.0,0.0,263.0,13.0,36.0,110.0,122.0,47.0,14.0,21.4,64.3,133.0,267.0,7.0,7.0,2.0,16.0,15.0,192.0,44.0,14.0,15.0,5.0,3.0,0.0,19.0,19.0,19.0,50.0
Luis Díaz,COL,Liverpool,FW,28.0,33.0,26.0,2225.0,12.0,5.0,2.0,0.0,10.0,4.9,N/a,N/a,N/a,N/a,103.0,103.0,269.0,0.49,0.2,0.4,0.2,41.5,1.09,0.18,13.5,697.0,84.3,11124.0,88.6,86.0,82.4,54.0,45.0,43.0,6.0,103.0,116.0,4.69,16.0,0.65,33.0,21.0,34.0,21.0,18.0,0.0,18.0,7.0,1109.0,15.0,78.0,382.0,668.0,155.0,111.0,45.9,43.2,733.0,2803.0,103.0,53.0,55.0,51.0,43.0,878.0,269.0,48.0,30.0,10.0,30.0,0.0,98.0,12.0,33.0,26.7
Martin Dúbravka,SVK,Newcastle Utd,GK,36.0,10.0,10.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,70.7,50.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,N/a,N/a,265.0,79.6,5932.0,100.0,100.0,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,262.0,337.0,14.0,0.0,0.0,0.0,N/a,N/a,202.0,643.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,4.0,0.0,100.0
Ederson,BRA,Manchester City,GK,31.0,23.0,23.0,2050.0,0.0,4.0,3.0,0.0,0.0,1.5,1.1,68.5,34.8,0.0,0.0,1.0,0.0,0.0,0.18,0.0,0.07,N/a,0.0,N/a,N/a,730.0,88.2,17943.0,100.0,98.4,66.3,4.0,20.0,1.0,0.0,1.0,6.0,0.26,4.0,0.18,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,875.0,619.0,866.0,9.0,0.0,0.0,0.0,N/a,N/a,590.0,1732.0,0.0,0.0,0.0,1.0,0.0,560.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,4.0,1.0,80.0
Anthony Elanga,SWE,Nott'ham Forest,"FW,MF",23.0,35.0,28.0,2232.0,6.0,9.0,1.0,0.0,4.2,4.8,N/a,N/a,N/a,N/a,87.0,54.0,190.0,0.24,0.36,0.17,0.19,52.5,0.85,0.15,17.3,479.0,65.2,6909.0,82.8,64.1,33.0,44.0,29.0,24.0,7.0,54.0,89.0,3.59,14.0,0.57,18.0,13.0,17.0,12.0,11.0,1.0,10.0,6.0,1000.0,29.0,133.0,290.0,594.0,98.0,76.0,30.3,46.1,527.0,2268.0,87.0,42.0,42.0,70.0,39.0,672.0,190.0,8.0,36.0,15.0,156.0,0.0,84.0,24.0,34.0,41.4
Harvey Elliott,ENG,Liverpool,"MF,FW",22.0,15.0,1.0,267.0,0.0,1.0,1.0,0.0,0.8,0.9,N/a,N/a,N/a,N/a,8.0,29.0,25.0,0.0,0.34,0.28,0.29,15.4,0.67,0.0,18.0,181.0,81.5,3087.0,91.6,81.1,68.0,6.0,18.0,4.0,0.0,29.0,15.0,5.06,2.0,0.67,4.0,3.0,5.0,4.0,5.0,1.0,4.0,1.0,257.0,2.0,21.0,115.0,122.0,18.0,6.0,50.0,50.0,147.0,301.0,8.0,9.0,5.0,4.0,4.0,193.0,25.0,0.0,0.0,1.0,10.0,0.0,10.0,1.0,2.0,33.3
Julio Enciso,PAR,Ipswich Town,"FW,MF",21.0,11.0,10.0,709.0,2.0,3.0,3.0,0.0,1.5,1.2,N/a,N/a,N/a,N/a,16.0,22.0,33.0,0.25,0.38,0.19,0.16,38.5,1.27,0.08,22.7,148.0,70.8,2405.0,78.0,75.3,50.0,10.0,13.0,7.0,1.0,22.0,23.0,2.92,4.0,0.51,11.0,8.0,9.0,5.0,3.0,0.0,3.0,1.0,330.0,4.0,46.0,168.0,128.0,16.0,49.0,46.9,42.9,164.0,591.0,16.0,18.0,6.0,17.0,27.0,212.0,33.0,8.0,16.0,0.0,15.0,0.0,39.0,7.0,16.0,30.4
Julio Enciso,PAR,Brighton,"MF,FW",21.0,12.0,2.0,294.0,0.0,0.0,0.0,0.0,1.0,0.2,N/a,N/a,N/a,N/a,11.0,14.0,17.0,0.0,0.0,0.31,0.07,55.0,3.37,0.0,21.3,99.0,66.0,1464.0,81.3,72.5,22.7,5.0,13.0,4.0,1.0,14.0,12.0,3.69,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,202.0,2.0,17.0,72.0,116.0,20.0,21.0,47.6,38.1,114.0,386.0,11.0,10.0,4.0,7.0,9.0,141.0,17.0,3.0,7.0,0.0,20.0,0.0,15.0,6.0,5.0,54.5
Wataru Endo,JPN,Liverpool,MF,32.0,18.0,1.0,237.0,0.0,0.0,0.0,0.0,0.0,0.1,N/a,N/a,N/a,N/a,0.0,14.0,5.0,0.0,0.0,0.0,0.02,N/a,0.0,N/a,N/a,148.0,93.1,2295.0,93.8,95.1,100.0,2.0,14.0,1.0,0.0,14.0,6.0,2.26,0.0,0.0,11.0,8.0,10.0,4.0,7.0,1.0,6.0,3.0,196.0,7.0,49.0,110.0,38.0,3.0,2.0,100.0,0.0,88.0,84.0,0.0,0.0,1.0,6.0,3.0,138.0,5.0,14.0,6.0,0.0,0.0,0.0,12.0,2.0,3.0,40.0
Christian Eriksen,DEN,Manchester Utd,MF,33.0,21.0,11.0,1028.0,0.0,2.0,4.0,0.0,0.4,2.9,N/a,N/a,N/a,N/a,12.0,53.0,29.0,0.0,0.18,0.03,0.25,9.1,0.09,0.0,24.9,569.0,79.1,9538.0,92.1,80.7,47.6,27.0,53.0,11.0,4.0,53.0,51.0,4.46,7.0,0.61,19.0,9.0,26.0,15.0,14.0,4.0,10.0,7.0,811.0,24.0,163.0,388.0,264.0,15.0,3.0,0.0,100.0,450.0,761.0,12.0,13.0,1.0,11.0,5.0,541.0,29.0,8.0,3.0,0.0,78.0,0.0,59.0,2.0,6.0,25.0
Pervis Estupiñán,ECU,Brighton,DF,27.0,28.0,24.0,2222.0,1.0,1.0,5.0,0.0,1.1,2.1,N/a,N/a,N/a,N/a,55.0,116.0,107.0,0.04,0.04,0.04,0.08,30.4,0.28,0.04,24.5,1245.0,83.3,18925.0,93.5,83.3,49.0,24.0,97.0,32.0,18.0,116.0,52.0,2.11,4.0,0.16,58.0,39.0,46.0,15.0,16.0,2.0,14.0,34.0,1766.0,72.0,439.0,878.0,467.0,31.0,30.0,53.3,43.3,944.0,2388.0,55.0,55.0,9.0,31.0,27.0,1070.0,107.0,33.0,17.0,3.0,114.0,0.0,136.0,43.0,26.0,62.3
Evanilson,BRA,Bournemouth,FW,25.0,28.0,25.0,2058.0,10.0,1.0,1.0,1.0,11.6,1.6,N/a,N/a,N/a,N/a,28.0,24.0,88.0,0.44,0.04,0.51,0.07,43.9,1.27,0.15,13.0,215.0,70.0,2631.0,75.3,73.0,66.7,23.0,14.0,3.0,0.0,24.0,56.0,2.45,8.0,0.35,16.0,10.0,12.0,4.0,10.0,2.0,8.0,0.0,505.0,23.0,50.0,195.0,263.0,116.0,19.0,31.6,36.8,300.0,820.0,28.0,17.0,14.0,31.0,22.0,358.0,88.0,33.0,45.0,17.0,0.0,0.0,59.0,39.0,58.0,40.2
Jonny Evans,NIR,Manchester Utd,DF,37.0,6.0,3.0,290.0,0.0,0.0,1.0,0.0,0.1,0.0,N/a,N/a,N/a,N/a,1.0,8.0,2.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,8.4,174.0,88.8,2809.0,94.3,90.0,50.0,0.0,9.0,1.0,0.0,8.0,2.0,0.62,0.0,0.0,7.0,5.0,4.0,2.0,2.0,1.0,1.0,4.0,223.0,30.0,125.0,91.0,11.0,2.0,1.0,100.0,0.0,128.0,183.0,1.0,0.0,0.0,1.0,0.0,137.0,2.0,5.0,6.0,0.0,0.0,0.0,15.0,8.0,3.0,72.7
Eberechi Eze,ENG,Crystal Palace,"MF,FW",26.0,31.0,29.0,2427.0,4.0,8.0,1.0,0.0,9.1,5.2,N/a,N/a,N/a,N/a,67.0,89.0,143.0,0.19,0.3,0.34,0.19,25.3,0.89,0.04,21.6,735.0,74.5,12395.0,84.3,83.5,44.9,54.0,47.0,35.0,4.0,89.0,125.0,4.64,9.0,0.33,37.0,22.0,35.0,18.0,27.0,0.0,27.0,11.0,1336.0,15.0,177.0,628.0,564.0,89.0,130.0,49.2,44.6,794.0,2262.0,67.0,45.0,21.0,53.0,44.0,862.0,143.0,11.0,49.0,9.0,103.0,0.0,133.0,7.0,37.0,15.9
Łukasz Fabiański,POL,West Ham,GK,40.0,13.0,12.0,1070.0,0.0,0.0,2.0,0.0,0.0,0.0,1.68,74.6,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,N/a,N/a,304.0,67.0,8756.0,100.0,99.3,41.3,0.0,4.0,0.0,0.0,0.0,3.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,488.0,382.0,483.0,5.0,0.0,0.0,2.0,100.0,0.0,258.0,845.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,2.0,1.0,66.7
Wout Faes,BEL,Leicester City,DF,27.0,31.0,27.0,2545.0,1.0,0.0,4.0,0.0,1.4,0.1,N/a,N/a,N/a,N/a,12.0,80.0,1.0,0.04,0.0,0.05,0.0,9.1,0.04,0.09,10.0,1252.0,87.7,23226.0,93.8,95.0,53.7,4.0,79.0,6.0,0.0,80.0,17.0,0.6,0.0,0.0,39.0,23.0,43.0,20.0,45.0,33.0,12.0,26.0,1735.0,277.0,852.0,824.0,67.0,26.0,6.0,83.3,16.7,1011.0,2703.0,12.0,13.0,2.0,16.0,6.0,1154.0,1.0,21.0,10.0,1.0,5.0,0.0,87.0,41.0,34.0,54.7
Evan Ferguson,IRL,West Ham,FW,20.0,8.0,1.0,156.0,0.0,0.0,0.0,0.0,0.6,0.3,N/a,N/a,N/a,N/a,1.0,1.0,7.0,0.0,0.0,0.32,0.17,20.0,0.58,0.0,17.2,28.0,75.7,375.0,80.8,71.4,50.0,2.0,1.0,0.0,0.0,1.0,4.0,2.31,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,66.0,1.0,6.0,30.0,31.0,10.0,5.0,60.0,40.0,31.0,41.0,1.0,1.0,1.0,8.0,5.0,42.0,7.0,1.0,2.0,0.0,0.0,0.0,8.0,5.0,10.0,33.3
Evan Ferguson,IRL,Brighton,FW,20.0,13.0,2.0,246.0,1.0,0.0,0.0,0.0,0.5,0.4,N/a,N/a,N/a,N/a,2.0,1.0,9.0,0.37,0.0,0.2,0.15,28.6,0.73,0.14,19.2,43.0,74.1,484.0,86.1,72.7,25.0,3.0,1.0,0.0,0.0,1.0,4.0,1.47,0.0,0.0,4.0,3.0,5.0,3.0,3.0,1.0,2.0,0.0,88.0,7.0,13.0,50.0,26.0,9.0,2.0,50.0,50.0,42.0,56.0,2.0,1.0,2.0,5.0,6.0,52.0,9.0,3.0,1.0,0.0,0.0,0.0,10.0,4.0,9.0,30.8
Bruno Fernandes,POR,Manchester Utd,MF,30.0,33.0,32.0,2758.0,5.0,9.0,4.0,2.0,9.5,7.6,N/a,N/a,N/a,N/a,65.0,281.0,118.0,0.26,0.29,0.31,0.25,30.1,0.82,0.06,21.9,1522.0,75.2,26743.0,86.7,80.4,52.6,84.0,176.0,73.0,11.0,281.0,169.0,5.51,12.0,0.39,76.0,47.0,75.0,46.0,32.0,4.0,28.0,25.0,2394.0,59.0,398.0,1130.0,888.0,71.0,65.0,41.5,49.2,1379.0,3436.0,65.0,60.0,11.0,38.0,37.0,1665.0,118.0,26.0,37.0,2.0,172.0,0.0,192.0,21.0,28.0,42.9
Mateus Fernandes,POR,Southampton,MF,20.0,33.0,31.0,2640.0,2.0,3.0,8.0,0.0,3.8,2.6,N/a,N/a,N/a,N/a,73.0,131.0,102.0,0.07,0.1,0.13,0.09,35.9,0.48,0.05,18.5,1003.0,79.9,16952.0,87.9,85.6,55.3,31.0,91.0,21.0,4.0,131.0,71.0,2.42,6.0,0.2,86.0,46.0,64.0,31.0,40.0,6.0,34.0,21.0,1619.0,59.0,345.0,800.0,511.0,46.0,99.0,45.5,45.5,836.0,2981.0,73.0,66.0,8.0,52.0,33.0,1000.0,102.0,42.0,53.0,4.0,104.0,0.0,165.0,13.0,9.0,59.1
Enzo Fernández,ARG,Chelsea,MF,24.0,33.0,29.0,2677.0,6.0,7.0,7.0,0.0,6.0,6.5,N/a,N/a,N/a,N/a,57.0,199.0,116.0,0.2,0.24,0.2,0.22,37.3,0.64,0.12,18.2,1429.0,80.0,25393.0,89.0,85.0,58.0,73.0,156.0,39.0,7.0,199.0,141.0,4.74,16.0,0.54,63.0,32.0,83.0,52.0,36.0,7.0,29.0,13.0,2070.0,36.0,327.0,1049.0,708.0,76.0,46.0,45.7,39.1,1135.0,2574.0,57.0,53.0,8.0,27.0,27.0,1520.0,116.0,47.0,48.0,1.0,105.0,0.0,147.0,14.0,28.0,33.3
Mark Flekken,NED,Brentford,GK,31.0,34.0,34.0,3005.0,0.0,2.0,1.0,0.0,0.0,0.5,1.53,73.1,17.6,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.02,N/a,0.0,N/a,N/a,1179.0,73.4,34812.0,97.9,97.5,49.9,3.0,47.0,2.0,0.0,0.0,10.0,0.3,2.0,0.06,4.0,4.0,9.0,6.0,2.0,0.0,2.0,0.0,1707.0,1338.0,1660.0,52.0,0.0,0.0,1.0,100.0,0.0,1045.0,3005.0,0.0,0.0,0.0,3.0,0.0,953.0,0.0,0.0,3.0,0.0,0.0,0.0,37.0,4.0,0.0,100.0
Phil Foden,ENG,Manchester City,"MF,FW",24.0,26.0,19.0,1693.0,7.0,2.0,2.0,0.0,5.1,4.7,N/a,N/a,N/a,N/a,47.0,95.0,119.0,0.37,0.11,0.27,0.25,30.8,0.85,0.13,18.5,743.0,84.0,11571.0,90.6,89.2,59.6,42.0,40.0,35.0,5.0,95.0,84.0,4.47,9.0,0.48,12.0,5.0,17.0,10.0,12.0,1.0,11.0,9.0,1076.0,13.0,81.0,375.0,629.0,79.0,39.0,33.3,53.8,677.0,1676.0,47.0,30.0,15.0,35.0,30.0,842.0,119.0,5.0,32.0,3.0,73.0,0.0,59.0,3.0,8.0,27.3
Wesley Fofana,FRA,Chelsea,DF,24.0,14.0,14.0,1172.0,0.0,0.0,7.0,0.0,0.4,0.4,N/a,N/a,N/a,N/a,19.0,32.0,4.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,10.6,724.0,90.2,12262.0,93.9,92.5,61.9,6.0,54.0,1.0,0.0,32.0,15.0,1.15,0.0,0.0,13.0,12.0,14.0,8.0,14.0,9.0,5.0,14.0,933.0,81.0,370.0,523.0,55.0,10.0,15.0,53.3,20.0,557.0,1614.0,19.0,12.0,1.0,16.0,5.0,665.0,4.0,24.0,16.0,0.0,1.0,0.0,54.0,27.0,12.0,69.2
Carlos Forbs,POR,Wolves,"MF,FW",21.0,10.0,1.0,239.0,0.0,0.0,2.0,0.0,0.1,0.0,N/a,N/a,N/a,N/a,10.0,8.0,28.0,0.0,0.0,0.05,0.01,0.0,0.0,0.0,19.1,60.0,65.9,788.0,76.5,73.1,20.0,1.0,2.0,3.0,1.0,8.0,5.0,1.89,1.0,0.38,8.0,5.0,6.0,2.0,3.0,0.0,3.0,1.0,121.0,3.0,23.0,39.0,60.0,13.0,12.0,58.3,41.7,75.0,321.0,10.0,3.0,8.0,7.0,4.0,85.0,28.0,2.0,1.0,0.0,9.0,0.0,11.0,1.0,3.0,25.0
Fraser Forster,ENG,Tottenham,GK,37.0,7.0,7.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,69.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,N/a,N/a,168.0,84.8,3349.0,98.2,95.6,48.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,228.0,212.0,228.0,0.0,0.0,0.0,1.0,100.0,0.0,113.0,264.0,0.0,0.0,0.0,1.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
Ryan Fraser,SCO,Southampton,"FW,DF",31.0,8.0,4.0,306.0,0.0,0.0,0.0,1.0,0.0,0.1,N/a,N/a,N/a,N/a,10.0,8.0,18.0,0.0,0.0,0.01,0.03,100.0,0.29,0.0,31.6,77.0,74.8,1121.0,93.5,70.0,30.0,2.0,3.0,1.0,0.0,8.0,5.0,1.47,0.0,0.0,6.0,2.0,6.0,2.0,1.0,1.0,0.0,1.0,131.0,12.0,45.0,50.0,37.0,3.0,3.0,66.7,33.3,74.0,252.0,10.0,5.0,2.0,4.0,2.0,94.0,18.0,1.0,4.0,1.0,12.0,0.0,10.0,2.0,3.0,40.0
Tyler Fredricson,ENG,Manchester Utd,DF,20.0,2.0,2.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,2.0,8.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,N/a,N/a,110.0,90.2,1932.0,94.0,91.5,88.9,0.0,8.0,0.0,0.0,8.0,3.0,1.63,0.0,0.0,5.0,3.0,2.0,1.0,2.0,0.0,2.0,1.0,141.0,11.0,64.0,68.0,9.0,1.0,1.0,100.0,0.0,86.0,114.0,2.0,1.0,0.0,2.0,0.0,95.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,7.0,5.0,58.3
João Félix,POR,Chelsea,"FW,MF",25.0,12.0,3.0,369.0,1.0,1.0,2.0,0.0,2.2,1.0,N/a,N/a,N/a,N/a,21.0,26.0,30.0,0.24,0.24,0.54,0.23,25.0,1.22,0.05,15.9,171.0,85.9,2588.0,90.5,91.2,66.7,6.0,22.0,8.0,0.0,26.0,18.0,4.38,3.0,0.73,8.0,3.0,9.0,4.0,2.0,0.0,2.0,3.0,272.0,2.0,26.0,128.0,125.0,30.0,31.0,32.3,45.2,193.0,712.0,21.0,13.0,5.0,6.0,4.0,218.0,30.0,6.0,17.0,1.0,0.0,0.0,22.0,4.0,5.0,44.4
Niclas Füllkrug,GER,West Ham,FW,32.0,15.0,5.0,668.0,3.0,2.0,2.0,0.0,2.0,1.9,N/a,N/a,N/a,N/a,6.0,11.0,25.0,0.4,0.27,0.27,0.25,35.7,0.67,0.21,10.2,102.0,65.4,1367.0,75.9,58.7,44.4,13.0,10.0,4.0,0.0,11.0,19.0,2.56,2.0,0.27,2.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,217.0,14.0,19.0,111.0,88.0,35.0,5.0,20.0,60.0,87.0,172.0,6.0,3.0,2.0,14.0,5.0,159.0,25.0,17.0,5.0,9.0,1.0,0.0,12.0,31.0,45.0,40.8
Cody Gakpo,NED,Liverpool,FW,26.0,32.0,20.0,1717.0,9.0,3.0,5.0,0.0,6.5,3.5,N/a,N/a,N/a,N/a,51.0,52.0,253.0,0.47,0.16,0.34,0.18,41.2,1.1,0.18,15.2,439.0,75.8,6279.0,86.6,66.5,54.8,33.0,22.0,27.0,8.0,52.0,71.0,3.72,7.0,0.37,26.0,14.0,23.0,12.0,19.0,2.0,17.0,11.0,795.0,21.0,75.0,230.0,506.0,90.0,51.0,56.9,29.4,540.0,1974.0,51.0,32.0,20.0,38.0,20.0,606.0,253.0,17.0,25.0,5.0,68.0,0.0,66.0,15.0,24.0,38.5
Andrés García,ESP,Aston Villa,"DF,MF",22.0,7.0,5.0,318.0,0.0,0.0,0.0,0.0,0.0,0.2,N/a,N/a,N/a,N/a,26.0,15.0,28.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,26.6,174.0,86.6,2725.0,92.7,90.2,53.8,3.0,9.0,8.0,5.0,15.0,3.0,0.85,0.0,0.0,9.0,5.0,8.0,4.0,2.0,0.0,2.0,2.0,256.0,8.0,38.0,108.0,112.0,2.0,18.0,27.8,66.7,159.0,673.0,26.0,13.0,2.0,10.0,6.0,168.0,28.0,1.0,0.0,0.0,18.0,0.0,15.0,0.0,6.0,0.0
Alejandro Garnacho,ARG,Manchester Utd,"MF,FW",20.0,34.0,23.0,2146.0,6.0,2.0,3.0,0.0,7.2,4.5,N/a,N/a,N/a,N/a,139.0,56.0,281.0,0.25,0.08,0.3,0.19,34.9,1.22,0.07,17.2,635.0,79.1,8921.0,88.6,82.9,60.0,35.0,21.0,24.0,4.0,56.0,81.0,3.4,6.0,0.25,29.0,18.0,36.0,24.0,19.0,0.0,19.0,13.0,1132.0,13.0,128.0,360.0,662.0,170.0,87.0,29.9,60.9,819.0,3176.0,139.0,72.0,66.0,63.0,48.0,864.0,281.0,12.0,41.0,10.0,52.0,0.0,108.0,3.0,23.0,11.5
James Garner,ENG,Everton,"MF,DF",24.0,18.0,14.0,1324.0,0.0,1.0,3.0,0.0,0.3,1.3,N/a,N/a,N/a,N/a,12.0,46.0,22.0,0.0,0.07,0.02,0.09,28.6,0.14,0.0,24.1,504.0,75.0,8821.0,85.2,83.5,46.5,12.0,50.0,6.0,3.0,46.0,33.0,2.24,5.0,0.34,41.0,27.0,35.0,16.0,15.0,3.0,12.0,17.0,819.0,36.0,196.0,417.0,213.0,9.0,16.0,37.5,62.5,399.0,684.0,12.0,15.0,1.0,12.0,7.0,451.0,22.0,18.0,14.0,0.0,52.0,0.0,64.0,10.0,8.0,55.6
Tyrique George,ENG,Chelsea,FW,19.0,7.0,0.0,103.0,1.0,1.0,1.0,0.0,0.2,0.7,N/a,N/a,N/a,N/a,9.0,2.0,18.0,0.87,0.87,0.17,0.63,33.3,0.87,0.33,15.0,38.0,82.6,494.0,91.3,82.4,0.0,5.0,0.0,1.0,0.0,2.0,6.0,5.24,1.0,0.87,2.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,56.0,1.0,10.0,14.0,33.0,8.0,4.0,75.0,25.0,38.0,208.0,9.0,1.0,5.0,1.0,0.0,44.0,18.0,2.0,0.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0
Morgan Gibbs-White,ENG,Nott'ham Forest,MF,25.0,31.0,31.0,2541.0,5.0,7.0,11.0,1.0,4.7,4.5,N/a,N/a,N/a,N/a,64.0,153.0,118.0,0.18,0.25,0.17,0.16,34.0,0.64,0.09,17.0,897.0,78.0,13817.0,85.0,81.5,57.3,48.0,117.0,37.0,8.0,153.0,104.0,3.68,17.0,0.6,40.0,19.0,30.0,15.0,16.0,4.0,12.0,20.0,1484.0,34.0,175.0,752.0,581.0,86.0,75.0,40.0,45.3,829.0,2410.0,64.0,47.0,12.0,66.0,39.0,1109.0,118.0,34.0,37.0,7.0,39.0,0.0,118.0,39.0,48.0,44.8
Billy Gilmour,SCO,Brighton,MF,23.0,2.0,1.0,98.0,0.0,0.0,0.0,0.0,0.1,0.0,N/a,N/a,N/a,N/a,2.0,11.0,2.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,25.5,58.0,86.6,980.0,94.7,81.8,57.1,0.0,12.0,2.0,0.0,11.0,3.0,2.76,0.0,0.0,3.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,73.0,2.0,14.0,46.0,13.0,0.0,2.0,50.0,50.0,44.0,117.0,2.0,0.0,0.0,0.0,0.0,58.0,2.0,2.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,N/a
Ben Godfrey,ENG,Ipswich Town,DF,27.0,3.0,2.0,159.0,0.0,0.0,1.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,2.0,4.0,1.0,0.0,0.0,0.0,0.0,N/a,0.0,N/a,N/a,47.0,82.5,657.0,90.9,88.9,N/a,0.0,5.0,1.0,0.0,4.0,1.0,0.57,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,68.0,6.0,26.0,33.0,9.0,1.0,0.0,N/a,N/a,33.0,79.0,2.0,2.0,0.0,2.0,1.0,42.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,100.0
